tf	tg
Bhlha15	Pnliprp2
Bhlha15	Ppy
Bhlha15	Prss2
Bhlha15	Prss3
Bhlha15	Ptf1a
Bhlha15	Ptprn
Bhlha15	Ptprn2
Bhlha15	Rap1gap
Bhlha15	Rbpjl
Bhlha15	Reg1
Bhlha15	Reg2
Bhlha15	Reg3d
Bhlha15	Resp18
Bhlha15	Rnase1
Bhlha15	Scg2
Bhlha15	Scgn
Bhlha15	Sec61b
Bhlha15	Serpini2
Bhlha15	Slc38a10
Bhlha15	Ssr4
Bhlha15	Sst
Bhlha15	Syp
Bhlha15	Syt13
Bhlha15	T2
Bhlha15	Terf2
Bhlha15	Tff2
Bhlha15	Th
Bhlha15	Tm4sf4
Bhlha15	Tmed11
Bhlha15	Tmed6
Bhlha15	Tmem39a
Bhlha15	Tram1
Bhlha15	Trpm5
Bhlha15	Ufm1
Bhlha15	Yipf2
Bhlha15	1810010D01Rik
Bhlha15	1810010K12Rik
Bhlha15	1810018F18Rik
Bhlha15	1810028F09Rik
Bhlha15	1810053B23Rik
Bhlha15	1810058N05Rik
Bhlha15	1810073G21Rik
Bhlha15	2210019I11Rik
Bhlha15	4930467D19Rik
Bhlha15	9030613N10Rik
Bhlha15	A330050F15Rik
Bhlha15	Aqp12
Bhlha15	Arpm1
Bhlha15	AU021895
Bhlha15	BB187676
Bhlha15	C2cd4b
Bhlha15	C630004H02Rik
Bhlha15	Celf3
Bhlha15	D1Ertd185e
Bhlha15	Dhx34
Bhlha15	Disp2
Bhlha15	E530001K10Rik
Bhlha15	Entpd3
Bhlha15	Erp27
Bhlha15	Fam159b
Bhlha15	Hapln4
Bhlha15	Kcnk16
Bhlha15	Pax6os1
Bhlha15	Pdia2
Bhlha15	Pitpnm3
Bhlha15	Rab26
Bhlha15	Rimbp2
Bhlha15	Rph3al
Bhlha15	Sgsm1
Bhlha15	Slc30a8
Bhlha15	Slc7a14
Bhlha15	Snph
Bhlha15	Tmem215
Bhlha15	Ucn3
Bhlha15	Vwa5b2
Bhlha15	Zkscan16
Bhlhe40	Chchd6
Bhlhe40	Dhx30
Bhlhe40	H2afy3
Bhlhe40	Kif1c
Bhlhe40	Psip1
Bhlhe40	Trim37
Bhlhe40	Zbtb7b
Bhlhe40	Zfp61
Bhlhe40	1500011H22Rik
Bhlhe40	6330503K22Rik
Bhlhe40	Ccdc112
Bhlhe40	Glt8d1
Bhlhe40	Iqcb1
Bhlhe40	Lrrcc1
Bhlhe40	Spata24
Bhlhe40	Wnk3-ps
Bhlhe40	Zfp184
Bmi1	2310075K07Rik
Bmi1	Arfrp1
Bmi1	Arl3
Bmi1	Cetn2
Bmi1	Cnot6l
Bmi1	Eid1
Bmi1	Fundc2
Bmi1	Lin28a
Bmi1	Rcor3
Bmi1	Smagp
Bmi1	Srp14
Bmi1	Stap2
Bmi1	Tdh
Bmi1	Yaf2
Bmi1	A930035D04Rik
Bmi1	BB212172
Bmi1	Clcn4-2
Bmi1	Fam120aos
Bmi1	Pds5b
Bmi1	Tmem125
Bmi1	Zc3h12c
Bmi1	Zfp438
Bmi1	Zfp788
Bmi1	Zxda
Carhsp1	Atp6v1d
