tf	tg
Isl1	Igsf1
Isl1	Kcnh8
Isl1	Kcnk16
Isl1	Klhl32
Isl1	Lgi2
Isl1	Lhfpl4
Isl1	Lhfpl5
Isl1	Lrp11
Isl1	March4
Isl1	Mtap2
Isl1	Nalcn
Isl1	Nell1
Isl1	Ngfrap1
Isl1	Nipal1
Isl1	Nol4
Isl1	Odz2
Isl1	Pappa2
Isl1	Pax6os1
Isl1	Pdia2
Isl1	Plcxd3
Isl1	Pnmal2
Isl1	Ppapdc1b
Isl1	Prss53
Isl1	Qsox2
Isl1	Rab39b
Isl1	Rab9b
Isl1	Rap1gap2
Isl1	Rimbp2
Isl1	Rims3
Isl1	Rph3al
Isl1	Sdk2
Isl1	Sgsm1
Isl1	Slc24a2
Isl1	Slc30a8
Isl1	Slc35d3
Isl1	Slc7a14
Isl1	Slitrk6
Isl1	Sphkap
Isl1	St18
Isl1	Stk32a
Isl1	Stox1
Isl1	Tmem130
Isl1	Tmem198
Isl1	Tmem215
Isl1	Tmem59l
Isl1	Tmem90a
Isl1	Tmsb15l
Isl1	Tnr
Isl1	Ucn3
Isl1	Vstm2l
Isl1	Vwa5b2
Isl1	Wnk3-ps
Isl1	Ypel4
Isl1	Zdbf2
Isl1	Zfp133-ps
Isl1	Zkscan16
Kdm1a	Adnp2
Kdm1a	Fam169a
Kdm1a	Ilf3
Kdm1a	Myef2
Kdm1a	Psip1
Kdm1a	Zfp566
Kdm1a	Zfp61
Kdm1a	Zik1
Kdm1a	Cep78
Kdm1a	Iqcb1
Kdm1a	Zfp184
Kdm2b	Ak3
Kdm2b	Armc10
Kdm2b	Psip1
Kdm2b	Trp53bp1
Kdm2b	Zfp566
Lhx1	Antxr2
Lhx1	Arl6
Lhx1	Atp2b2
Lhx1	Bicd1
Lhx1	Cadps
Lhx1	Calb1
Lhx1	Crocc
Lhx1	Dpcd
Lhx1	Dpp6
Lhx1	Egf
Lhx1	Eml5
Lhx1	Gabrb3
Lhx1	Gdap1l1
Lhx1	Gnaz
Lhx1	Grip1
Lhx1	Hdac6
Lhx1	Ift122
Lhx1	Ina
Lhx1	Irak1bp1
Lhx1	Kcnip1
Lhx1	Kif5c
Lhx1	Kl
Lhx1	Lgals9
Lhx1	Lrrn1
Lhx1	Mapk8ip2
Lhx1	Myt1
Lhx1	Nap1l5
Lhx1	Pclo
Lhx1	Phyhipl
Lhx1	Ppp1r17
Lhx1	Ppp1r1a
Lhx1	Psg16
Lhx1	Rims2
Lhx1	Rundc3a
Lhx1	Scg5
Lhx1	Scn8a
Lhx1	Sez6l
Lhx1	Sez6l2
Lhx1	Sim1
Lhx1	Slc12a1
Lhx1	Slc4a10
Lhx1	Slco1a6
Lhx1	Spock1
Lhx1	Srrm3
Lhx1	St8sia1
Lhx1	Stmn3
Lhx1	Syt4
Lhx1	Tmem27
Lhx1	Ttc8
Lhx1	Unc5c
Lhx1	6330407J23Rik
Lhx1	A330050F15Rik
Lhx1	A930009E05Rik
Lhx1	AI428936
Lhx1	Asphd1
Lhx1	B830017H08Rik
Lhx1	Bai3
Lhx1	BB187676
Lhx1	Brsk2
Lhx1	Camk2n2
Lhx1	D3Bwg0562e
Lhx1	D630045J12Rik
Lhx1	Dnajc6
Lhx1	Fam155a
Lhx1	Inpp5f
Lhx1	Klhl32
Lhx1	Lhfpl4
Lhx1	Lhfpl5
Lhx1	Lrp11
Lhx1	Nol4
Lhx1	Odz2
Lhx1	Plcxd3
Lhx1	Rab39b
Lhx1	Rimkla
Lhx1	Slc7a14
Lhx1	Stxbp5l
Lhx1	Tbc1d2b
Lhx1	Tmem130
Lhx1	Tmem150c
Lhx1	Vstm2l
Lin28a	Cldn6
Lin28a	Fam169a
Lin28a	Rest
Lin28a	Sall4
Lin28a	Syt9
Lin28a	Tdh
Lin28a	Tet1
Lin28a	Cep78
Lin28a	Clcn4-2
Lmx1b	Casr
Lmx1b	Cdh22
Lmx1b	Cdk5r2
Lmx1b	Chrnb2
Lmx1b	Cryba2
Lmx1b	Dusp26
Lmx1b	Eef1g
Lmx1b	Gdap1l1
Lmx1b	Grid2ip
Lmx1b	Insrr
Lmx1b	Myt1
Lmx1b	Nkx6-1
Lmx1b	Rem2
Lmx1b	Sstr3
Lmx1b	T2
Lmx1b	2410021H03Rik
Lmx1b	Accn2
Lmx1b	C130021I20Rik
Lmx1b	D2Bwg1423e
Lmx1b	Enho
Lmx1b	Gm10941
Lmx1b	Lhfpl4
Lmx1b	Pcdha10
Meis2	Armcx1
Meis2	D430019H16Rik
Meis2	Fzd3
Meis2	H2afy2
Meis2	Maged1
Meis2	Mageh1
Meis2	Nbea
Meis2	Ndn
Meis2	Pak3
Meis2	Pbx3
Meis2	Pcdhb17
Meis2	Peg3
Meis2	Plagl1
Meis2	Runx1t1
Meis2	Smarca1
Meis2	Spin4
Meis2	Tram1l1
Meis2	Ttc8
Meis2	Unc5c
Meis2	Arxes1
Meis2	BC031361
Meis2	C030034E14Rik
Meis2	Cxxc4
Meis2	D630045J12Rik
Meis2	Negr1
Meis2	Rnf182
Meis2	Sdk2
Meis2	Stox2
Meis2	Trim14
Meis2	Tshz3
Mnx1	2210010C04Rik
Mnx1	5330417C22Rik
Mnx1	A530058N18Rik
Mnx1	Abcc8
Mnx1	Adra2a
Mnx1	Amigo1
Mnx1	Aplp1
Mnx1	Bace2
Mnx1	Baiap3
Mnx1	Bhlha15
Mnx1	Cabp7
Mnx1	Cadps
Mnx1	Car10
Mnx1	Cartpt
Mnx1	Cat
Mnx1	Cd164
Mnx1	Cdh22
Mnx1	Cdh8
Mnx1	Cdhr1
Mnx1	Cdx4
Mnx1	Cel
Mnx1	Cela2a
Mnx1	Cela3b
Mnx1	Celsr3
Mnx1	Chga
Mnx1	Chgb
Mnx1	Chic1
Mnx1	Chid1
Mnx1	Chrm3
Mnx1	Cln6
Mnx1	Clps
Mnx1	Cnpy2
Mnx1	Cntnap2
Mnx1	Cpa1
Mnx1	Cpa2
Mnx1	Cpb1
Mnx1	Cplx2
Mnx1	Creld2
Mnx1	Cryba2
Mnx1	Ctrb1
Mnx1	Ctrc
Mnx1	Ctrl
Mnx1	Cuzd1
Mnx1	Ddc
Mnx1	Derl2
Mnx1	Elavl4
Mnx1	Eml5
Mnx1	Ero1lb
Mnx1	Fam122a
Mnx1	Fev
Mnx1	Ffar2
Mnx1	Fgf12
Mnx1	Ficd
Mnx1	Fkbp1b
Mnx1	Fkbp2
Mnx1	Fmn2
Mnx1	Frzb
Mnx1	G6pc2
Mnx1	Gad1
Mnx1	Gal
Mnx1	Galr1
Mnx1	Gcg
Mnx1	Gch1
Mnx1	Gdap1
Mnx1	Gdap1l1
Mnx1	Gfra3
Mnx1	Gjd2
Mnx1	Glp1r
Mnx1	Gmppa
Mnx1	Gnat2
Mnx1	Gnaz
Mnx1	Gng4
Mnx1	Gp2
Mnx1	Guk1
Mnx1	Hap1
Mnx1	Iapp
Mnx1	Ica1
Mnx1	Ids
Mnx1	Il1r1
Mnx1	Ins1
Mnx1	Ins2
Mnx1	Insm1
Mnx1	Insrr
Mnx1	Isl1
Mnx1	Kcnip1
Mnx1	Kcnmb2
Mnx1	Kcnu1
Mnx1	Klhl5
Mnx1	Klk1b4
Mnx1	Klk1b5
Mnx1	Ldha
Mnx1	Lgi1
Mnx1	Lman1
Mnx1	Mageh1
Mnx1	Mapk10
Mnx1	Mapk8ip2
Mnx1	Mapkap1
Mnx1	Mdm1
Mnx1	Mia3
Mnx1	Mtmr7
Mnx1	Myo15
Mnx1	Myt1
Mnx1	Neurod1
Mnx1	Neurog3
Mnx1	Nkx2-2
Mnx1	Nkx6-1
Mnx1	Notch2
Mnx1	Npy
Mnx1	Nrsn1
Mnx1	Nucb2
Mnx1	Otoa
Mnx1	Oxtr
Mnx1	Pax6
Mnx1	Pclo
Mnx1	Pcsk1
Mnx1	Pcsk1n
Mnx1	Pcsk2
Mnx1	Pdia6
Mnx1	Pdx1
Mnx1	Pdyn
Mnx1	Pex5l
Mnx1	Pla2g1b
Mnx1	Pnlip
Mnx1	Pnliprp1
Mnx1	Pnliprp2
Mnx1	Ppp1r1a
Mnx1	Ppy
Mnx1	Prepl
Mnx1	Prkar1b
Mnx1	Prph
Mnx1	Prss2
Mnx1	Prss3
Mnx1	Ptf1a
Mnx1	Ptprn
Mnx1	Ptprn2
Mnx1	Pycr1
Mnx1	Rab37
Mnx1	Rasgrf1
Mnx1	Rcan3
Mnx1	Reg1
Mnx1	Reg2
Mnx1	Reg3d
Mnx1	Resp18
Mnx1	Ret
Mnx1	Rims2
Mnx1	Rnase1
Mnx1	Rpn1
Mnx1	Rundc3a
Mnx1	Scg2
Mnx1	Scg3
Mnx1	Scg5
Mnx1	Scgn
Mnx1	Scn9a
Mnx1	Sec61b
Mnx1	Serpini2
Mnx1	Sez6l
Mnx1	Sez6l2
Mnx1	Sgsm3
Mnx1	Sim1
Mnx1	Slc18a3
Mnx1	Slc29a4
Mnx1	Slc2a2
Mnx1	Slc2a5
Mnx1	Slc35b1
Mnx1	Slc38a5
Mnx1	Slc7a4
Mnx1	Snap25
Mnx1	Sntg1
Mnx1	Spc25
Mnx1	Spock1
Mnx1	Srp68
Mnx1	Sst
Mnx1	Sstr3
Mnx1	St8sia3
Mnx1	Synpr
Mnx1	Syt13
Mnx1	Syt4
Mnx1	Syt7
Mnx1	Sytl4
Mnx1	T2
Mnx1	Tff2
Mnx1	Th
Mnx1	Tm4sf4
Mnx1	Tmed11
Mnx1	Tmed3
Mnx1	Tmed6
Mnx1	Tmed8
Mnx1	Tmem163
Mnx1	Tmem27
Mnx1	Trpm5
Mnx1	Tssc4
Mnx1	Ttr
Mnx1	Ufc1
Mnx1	Ufm1
Mnx1	Uggt1
Mnx1	Unc13a
Mnx1	Yipf2
Mnx1	Zcchc18
Mnx1	Zdhhc2
Mnx1	1700045I19Rik
Mnx1	1700086L19Rik
Mnx1	1810010K12Rik
Mnx1	1810018F18Rik
Mnx1	1810028F09Rik
Mnx1	1810053B23Rik
Mnx1	1810058N05Rik
Mnx1	1810062G17Rik
Mnx1	1810073G21Rik
Mnx1	2210019I11Rik
Mnx1	2310034G01Rik
Mnx1	2410021H03Rik
Mnx1	2900001G08Rik
Mnx1	2900008C10Rik
Mnx1	4930488B01Rik
Mnx1	4930579K19Rik
Mnx1	4931431B13Rik
Mnx1	5330411J11Rik
Mnx1	5430439G13Rik
Mnx1	5830403M04Rik
Mnx1	9030612E09Rik
Mnx1	9330182L06Rik
Mnx1	A030001D20Rik
Mnx1	A230051N06Rik
Mnx1	A330008L17Rik
Mnx1	A330050F15Rik
Mnx1	A330076H08Rik
Mnx1	Adora3
Mnx1	Aldh1l2
Mnx1	Aqp12
Mnx1	Arhgap36
Mnx1	Arpm1
Mnx1	Asphd1
Mnx1	AU022229
Mnx1	AU022538
Mnx1	B830017H08Rik
Mnx1	BB187676
Mnx1	BB319198
Mnx1	BB557941
Mnx1	C030034E14Rik
Mnx1	C2cd4b
Mnx1	C2cd4c
Mnx1	C630004H02Rik
Mnx1	Cdh7
Mnx1	Celf3
Mnx1	Celf6
Mnx1	Cerkl
Mnx1	Cib3
Mnx1	Copg
Mnx1	Ctxn2
Mnx1	Cxxc4
Mnx1	D10Bwg1379e
Mnx1	D630024D03Rik
Mnx1	Dbpht2
Mnx1	Disp2
Mnx1	E130002L11Rik
Mnx1	E530001K10Rik
Mnx1	Efcab1
Mnx1	Enho
Mnx1	Entpd3
Mnx1	Erp27
Mnx1	Etv1
Mnx1	Fam101a
Mnx1	Fam155a
Mnx1	Fam159b
Mnx1	Fam164c
Mnx1	Fam183b
Mnx1	Fam190a
Mnx1	Fbxl16
Mnx1	Ghsr
Mnx1	Gipr
Mnx1	Gm10632
Mnx1	Gm10941
Mnx1	Gm12500
Mnx1	Gm17733
Mnx1	Gm17739
Mnx1	Gm17767
Mnx1	Gm19451
Mnx1	Gm3924
Mnx1	Gm5126
Mnx1	Gm6658
Mnx1	Gpr158
Mnx1	Hapln4
Mnx1	Hist1h4j
Mnx1	Hs3st6
Mnx1	Igf2as
Mnx1	Igsf1
Mnx1	Kcnk16
Mnx1	Klhl32
Mnx1	Lhfpl4
Mnx1	Lhfpl5
Mnx1	Lrp11
Mnx1	March4
Mnx1	Nalcn
Mnx1	Nbas
Mnx1	Nell1
Mnx1	Nipal1
Mnx1	Nol4
Mnx1	Pappa2
Mnx1	Pax6os1
Mnx1	Pcdha10
Mnx1	Pdia2
Mnx1	Phf21b
Mnx1	Pitpnm3
Mnx1	Plcxd3
Mnx1	Pnmal2
Mnx1	Prss53
Mnx1	Qsox2
Mnx1	Rab39b
Mnx1	Rab9b
Mnx1	Rap1gap2
Mnx1	Rimbp2
Mnx1	Rims3
Mnx1	Rph3al
Mnx1	Sgsm1
Mnx1	Slc16a12
Mnx1	Slc24a2
Mnx1	Slc30a8
Mnx1	Slc35d3
Mnx1	Slc7a14
Mnx1	Slitrk6
Mnx1	Sphkap
Mnx1	St18
Mnx1	Stk32a
Mnx1	Stox1
Mnx1	Tmem107
Mnx1	Tmem130
Mnx1	Tmem215
Mnx1	Tmem59l
Mnx1	Tmem90a
Mnx1	Tmsb15l
Mnx1	Tnr
Mnx1	Ucn3
Mnx1	Vgf
Mnx1	Vmac
Mnx1	Vstm2l
Mnx1	Vwa5b2
Mnx1	Zfp133-ps
Mnx1	Zkscan16
Myt1	A530058N18Rik
Myt1	Actl6b
Myt1	Adam22
Myt1	Aff2
Myt1	Aplp1
Myt1	Atp2b2
Myt1	Bex2
Myt1	Bicd1
Myt1	Cadps
Myt1	Car10
Myt1	Cdh22
Myt1	Cdh8
Myt1	Cdhr1
Myt1	Celf4
Myt1	Celsr3
Myt1	Chga
Myt1	Chgb
Myt1	Chrnb2
Myt1	Cntn1
Myt1	Cntnap2
Myt1	Crmp1
Myt1	Cryba2
Myt1	Ctnna2
Myt1	Dner
Myt1	Dpp6
Myt1	Dusp26
Myt1	Elavl4
Myt1	Eml5
Myt1	Fgf12
Myt1	Fmn2
Myt1	Fzd3
Myt1	Gabrb3
Myt1	Gad1
Myt1	Gdap1
Myt1	Gdap1l1
Myt1	Gjd2
Myt1	Glrb
Myt1	Gnaz
Myt1	Gng4
Myt1	Gpr85
Myt1	Gria2
Myt1	Grip1
Myt1	Hap1
Myt1	Iapp
Myt1	Ina
Myt1	Insm1
Myt1	Isl1
Myt1	Jph3
Myt1	Kcnip1
Myt1	Kif5c
Myt1	Lrrn1
Myt1	Lrrtm2
Myt1	Mapk10
Myt1	Mapk8ip2
Myt1	March9
Myt1	Myt1l
Myt1	Nap1l2
Myt1	Nap1l3
Myt1	Nap1l5
Myt1	Neurod1
Myt1	Nkx2-2
Myt1	Npas3
Myt1	Nrsn1
Myt1	Nxph1
Myt1	Pax6
Myt1	Pclo
Myt1	Pcsk1n
Myt1	Pcsk2
Myt1	Pde10a
Myt1	Ppp1r17
Myt1	Prkar1b
Myt1	Ptprn2
Myt1	Rasgrf1
Myt1	Rem2
Myt1	Resp18
Myt1	Rgs7
Myt1	Rims2
Myt1	Rreb1
Myt1	Rundc3a
Myt1	Scg2
Myt1	Scg3
Myt1	Scg5
Myt1	Scn8a
Myt1	Scn9a
Myt1	Serpini1
Myt1	Sez6l
Myt1	Sez6l2
Myt1	Slc25a14
Myt1	Slc29a4
Myt1	Slc4a10
Myt1	Snap25
Myt1	Snap91
Myt1	Spock1
Myt1	Srrm3
Myt1	Sstr3
Myt1	St8sia3
Myt1	Stmn3
Myt1	Synpr
Myt1	Syt11
Myt1	Syt4
Myt1	Syt7
Myt1	Tmem163
Myt1	Tram1l1
Myt1	Tssc4
Myt1	Unc13a
Myt1	Usp29
Myt1	Zcchc18
Myt1	1500011B03Rik
Myt1	2810037O22Rik
Myt1	4832406H04Rik
Myt1	4930488B01Rik
Myt1	6330407J23Rik
Myt1	A230051N06Rik
Myt1	A330008L17Rik
Myt1	A330076H08Rik
Myt1	A930009E05Rik
Myt1	Accn2
Myt1	Aldh1l2
Myt1	Asphd1
Myt1	B630019K06Rik
Myt1	Bai3
Myt1	BB319198
Myt1	Brsk2
Myt1	C030034E14Rik
Myt1	C630004H02Rik
Myt1	Camk2n2
Myt1	Cdh7
Myt1	Celf6
Myt1	Chd5
Myt1	Csmd2
Myt1	Cxxc4
Myt1	Disp2
Myt1	Dlgap1
Myt1	E130309F12Rik
Myt1	Fam155a
Myt1	Fam171b
Myt1	Fam190a
Myt1	Fbxl16
Myt1	Gm15663
Myt1	Hist3h2ba
Myt1	Inpp5f
Myt1	Kcnh5
Myt1	Kcnh8
Myt1	Klhl32
Myt1	Lhfpl3
Myt1	Lhfpl4
Myt1	Lhfpl5
Myt1	Lonrf2
Myt1	Lrp11
Myt1	March4
Myt1	Mtap2
Myt1	Mtap7d2
Myt1	Mtap9
Myt1	Nalcn
Myt1	Nat14
Myt1	Negr1
Myt1	Nfasc
Myt1	Nol4
Myt1	Nrxn1
Myt1	Odz2
Myt1	Pax6os1
Myt1	Phactr3
Myt1	Phf21b
Myt1	Plcxd3
Myt1	Pnmal2
Myt1	Rab39b
Myt1	Rab9b
Myt1	Rimkla
Myt1	Rims3
Myt1	Rnf182
Myt1	Rnft2
Myt1	Slc24a2
Myt1	Slc30a8
Myt1	Slc35f1
Myt1	Slc7a14
Myt1	Sphkap
Myt1	St18
Myt1	Stk32a
Myt1	Syt16
Myt1	Tmem108
Myt1	Tmem130
Myt1	Tmem198
Myt1	Tnr
Myt1	Trim9
Myt1	Vwa5b2
Myt1	Ypel4
Myt1l	Actl6b
Myt1l	Adam22
Myt1l	Ahi1
Myt1l	Aplp1
Myt1l	Atp2b2
Myt1l	Cadps
Myt1l	Camk1g
Myt1l	Car10
Myt1l	Cdh8
Myt1l	Cdk5r2
Myt1l	Celf4
Myt1l	Celsr3
Myt1l	Chga
Myt1l	Chgb
Myt1l	Cntn1
Myt1l	Cntnap2
Myt1l	Crmp1
Myt1l	Ctnna2
Myt1l	Ddx25
Myt1l	Dner
Myt1l	Dpp6
Myt1l	Elavl4
Myt1l	Eno2
Myt1l	Fgf12
Myt1l	Fmn2
Myt1l	Gabrb3
Myt1l	Gad1
Myt1l	Gdap1
Myt1l	Gdap1l1
Myt1l	Gjd2
Myt1l	Glrb
Myt1l	Gnaz
Myt1l	Gng4
Myt1l	Gpr85
Myt1l	Gria2
Myt1l	Grip1
Myt1l	Hcn3
Myt1l	Ina
Myt1l	Jph3
Myt1l	Kcnip1
Myt1l	Kcnu1
Myt1l	Kif3a
Myt1l	Kif5c
Myt1l	Lgi1
Myt1l	Lin7b
Myt1l	Lrrtm2
Myt1l	Mapk10
Myt1l	Mapk8ip2
Myt1l	Myt1
Myt1l	Nap1l2
Myt1l	Nap1l3
Myt1l	Nap1l5
Myt1l	Napb
Myt1l	Nrsn1
Myt1l	Nxph1
Myt1l	Pclo
Myt1l	Pcsk1n
Myt1l	Pcsk2
Myt1l	Pde10a
Myt1l	Prkar1b
Myt1l	Ptprn2
Myt1l	Ptprt
Myt1l	Rasgrf1
Myt1l	Rem2
Myt1l	Rgs7
Myt1l	Rims2
Myt1l	Rnf112
Myt1l	Rreb1
Myt1l	Rundc3a
Myt1l	Scg2
Myt1l	Scg3
Myt1l	Scg5
Myt1l	Scn8a
Myt1l	Serpini1
Myt1l	Sez6l
Myt1l	Sez6l2
Myt1l	Sgtb
Myt1l	Slc25a14
Myt1l	Slc29a4
Myt1l	Slc4a10
Myt1l	Snap25
Myt1l	Snap91
Myt1l	Spock1
Myt1l	Srrm3
Myt1l	St8sia3
Myt1l	Stmn3
Myt1l	Sv2a
Myt1l	Syn1
Myt1l	Synpr
Myt1l	Syt11
Myt1l	Syt4
Myt1l	Syt7
Myt1l	Unc13a
Myt1l	Usp29
Myt1l	Zcchc18
Myt1l	1700086L19Rik
Myt1l	2810037O22Rik
Myt1l	4832406H04Rik
Myt1l	4930488B01Rik
Myt1l	6330407J23Rik
Myt1l	9330184L24Rik
Myt1l	A330008L17Rik
Myt1l	A930009E05Rik
Myt1l	Accn2
Myt1l	Ankrd34b
Myt1l	Asphd1
Myt1l	B230343J05Rik
Myt1l	Bai3
Myt1l	BB319198
Myt1l	Brsk2
Myt1l	C030034E14Rik
Myt1l	Camk2n2
Myt1l	Cdh7
Myt1l	Celf6
Myt1l	Chd5
Myt1l	Csmd2
Myt1l	Ctxn2
Myt1l	Cxxc4
Myt1l	D3Bwg0562e
Myt1l	Disp2
Myt1l	Dlgap1
Myt1l	E130309F12Rik
Myt1l	Fam155a
Myt1l	Fam171b
Myt1l	Fbxl16
Myt1l	Gnal
Myt1l	Hist3h2ba
Myt1l	Ica1l
Myt1l	Jazf1
Myt1l	Kcnc2
Myt1l	Klhl32
Myt1l	Lhfpl4
Myt1l	Lhfpl5
Myt1l	Lonrf2
Myt1l	Lrp11
Myt1l	Lrrtm4
Myt1l	March4
Myt1l	Mtap2
Myt1l	Mtap7d2
Myt1l	Mtap9
Myt1l	Nalcn
Myt1l	Nat14
Myt1l	Negr1
Myt1l	Nfasc
Myt1l	Nol4
Myt1l	Nrxn1
Myt1l	Odz2
Myt1l	Pgbd5
Myt1l	Phactr3
Myt1l	Plcxd3
Myt1l	Pnmal2
Myt1l	Rab39b
Myt1l	Rab9b
Myt1l	Rimkla
Myt1l	Rims3
Myt1l	Rnft2
Myt1l	Slc24a2
Myt1l	Slc35f1
Myt1l	Slc7a14
Myt1l	Snph
Myt1l	Sphkap
Myt1l	Srsf12
Myt1l	Stxbp5l
Myt1l	Syt16
Myt1l	Tmem130
Myt1l	Tmem150c
Myt1l	Tmem198
Myt1l	Tmem59l
Myt1l	Tnr
Myt1l	Trim9
Myt1l	Tspyl5
Myt1l	Vgf
Myt1l	Vstm2l
Ndn	Adam22
Ndn	Aff2
Ndn	Arl3
Ndn	Armcx1
Ndn	Armcx2
Ndn	Bex1
Ndn	D430019H16Rik
Ndn	H2afy2
Ndn	Hdgfrp3
Ndn	Klhl7
Ndn	Lrrn1
Ndn	Maged1
Ndn	Mageh1
Ndn	Mboat2
Ndn	Nap1l3
Ndn	Nbea
Ndn	Ndrg4
Ndn	Nnat
Ndn	Pcdhb17
Ndn	Peg3
Ndn	Pfn2
Ndn	Plagl1
Ndn	Rian
Ndn	Runx1t1
Ndn	Smarca1
Ndn	Stau2
Ndn	Tram1l1
Ndn	Zfp30
Ndn	Zfp354c
Ndn	1110006E14Rik
Ndn	9030418K01Rik
Ndn	Arxes1
Ndn	Arxes2
Ndn	Bhlhb9
Ndn	C030034E14Rik
Ndn	Dcaf12l1
Ndn	Eid2
Ndn	Fam171b
Ndn	Gtdc2
Ndn	Lgi2
Ndn	Lonrf2
Ndn	Ppp1r26
Ndn	Stox2
Ndn	Tshz3
Neurod1	2010107G23Rik
Neurod1	5330417C22Rik
Neurod1	A530058N18Rik
Neurod1	Abcc8
Neurod1	Actl6b
Neurod1	Adam22
Neurod1	Adra2a
Neurod1	Antxr2
Neurod1	Aplp1
Neurod1	Arhgdig
Neurod1	Atp2b2
Neurod1	B4galt3
Neurod1	B4galt6
Neurod1	Bex2
Neurod1	Bicd1
Neurod1	Cabp1
Neurod1	Cadps
Neurod1	Camk2b
Neurod1	Car10
Neurod1	Cartpt
Neurod1	Cdh22
Neurod1	Cdh8
Neurod1	Cdhr1
Neurod1	Cdk5r2
Neurod1	Cel
Neurod1	Celf4
Neurod1	Celsr3
Neurod1	Chga
Neurod1	Chgb
Neurod1	Chic1
Neurod1	Clps
Neurod1	Cntn1
Neurod1	Cntnap2
Neurod1	Cpa2
Neurod1	Cplx2
Neurod1	Crmp1
Neurod1	Dner
Neurod1	Dpp6
Neurod1	Elavl4
Neurod1	Eml5
Neurod1	Fgf12
Neurod1	Fkbp1b
Neurod1	Fmn2
Neurod1	Fzd3
Neurod1	G6pc2
Neurod1	Gabrb3
Neurod1	Gad1
Neurod1	Galr1
Neurod1	Gcg
Neurod1	Gdap1
Neurod1	Gdap1l1
Neurod1	Gjd2
Neurod1	Glrb
Neurod1	Gnaz
Neurod1	Gng4
Neurod1	Gpr85
Neurod1	Gria2
Neurod1	Grip1
Neurod1	Hap1
Neurod1	Iapp
Neurod1	Ina
Neurod1	Ins1
Neurod1	Ins2
Neurod1	Insm1
Neurod1	Isl1
Neurod1	Jph3
Neurod1	Kcnip1
Neurod1	Kcnmb2
Neurod1	Kcnu1
Neurod1	Kif5c
Neurod1	Lats2
Neurod1	Lgi1
Neurod1	Lrrn1
Neurod1	Mageh1
Neurod1	Mapk10
Neurod1	Mapk8ip2
Neurod1	Mnx1
Neurod1	Mpp3
Neurod1	Mtmr7
Neurod1	Myt1
Neurod1	Myt1l
Neurod1	Nap1l2
Neurod1	Nap1l3
Neurod1	Nap1l5
Neurod1	Necap1
Neurod1	Neurog3
Neurod1	Nkx2-2
Neurod1	Nkx6-1
Neurod1	Nrsn1
Neurod1	Pax6
Neurod1	Pclo
Neurod1	Pcsk1
Neurod1	Pcsk1n
Neurod1	Pcsk2
Neurod1	Pdx1
Neurod1	Pdyn
Neurod1	Pex5l
Neurod1	Ppy
Neurod1	Prkar1b
Neurod1	Ptprn
Neurod1	Ptprn2
Neurod1	Rasgrf1
Neurod1	Rbms1
Neurod1	Rcan3
Neurod1	Reg1
Neurod1	Rem2
Neurod1	Resp18
Neurod1	Rgs7
Neurod1	Rims2
Neurod1	Rreb1
Neurod1	Rundc3a
Neurod1	Runx1t1
Neurod1	Scg2
Neurod1	Scg3
Neurod1	Scg5
Neurod1	Scgn
Neurod1	Scn8a
Neurod1	Scn9a
Neurod1	Serpini1
Neurod1	Sez6l
Neurod1	Sez6l2
Neurod1	Sgtb
Neurod1	Slc29a4
Neurod1	Slc35b1
Neurod1	Slc4a10
Neurod1	Snap25
Neurod1	Snap91
Neurod1	Spock1
Neurod1	Srrm3
Neurod1	Sst
Neurod1	Sstr3
Neurod1	St8sia3
Neurod1	Stmn3
Neurod1	Syn1
Neurod1	Synpr
Neurod1	Syt13
Neurod1	Syt4
Neurod1	Syt7
Neurod1	Syt9
Neurod1	Trpm5
Neurod1	Unc13a
Neurod1	Usp29
Neurod1	Zcchc18
Neurod1	Zdhhc2
Neurod1	1700086L19Rik
Neurod1	2210019I11Rik
Neurod1	2810037O22Rik
Neurod1	2900001G08Rik
Neurod1	4832406H04Rik
Neurod1	4930488B01Rik
Neurod1	6330407J23Rik
Neurod1	A230051N06Rik
Neurod1	A330008L17Rik
Neurod1	A330076H08Rik
Neurod1	A930009E05Rik
Neurod1	Accn2
Neurod1	Asphd1
Neurod1	B830017H08Rik
Neurod1	Bai3
Neurod1	BB319198
Neurod1	Brsk2
Neurod1	C030034E14Rik
Neurod1	C2cd4b
Neurod1	C2cd4c
Neurod1	C630004H02Rik
Neurod1	Camk2n2
Neurod1	Cdh7
Neurod1	Celf3
Neurod1	Celf6
Neurod1	Chd5
Neurod1	Ctxn2
Neurod1	Cxxc4
Neurod1	D10Bwg1379e
Neurod1	Dbpht2
Neurod1	Disp2
Neurod1	E130309F12Rik
Neurod1	Efcab1
Neurod1	Entpd3
Neurod1	Etv1
Neurod1	Fam155a
Neurod1	Fam171b
Neurod1	Fam183b
Neurod1	Fam190a
Neurod1	Fbxl16
Neurod1	Gnal
Neurod1	Hist3h2ba
Neurod1	Hmgcll1
Neurod1	Kcnh8
Neurod1	Kcnk16
Neurod1	Klhl32
Neurod1	Lhfpl4
Neurod1	Lhfpl5
Neurod1	Lrp11
Neurod1	March4
Neurod1	Mtap2
Neurod1	Mtap7d2
Neurod1	Mtap9
Neurod1	Nalcn
Neurod1	Negr1
Neurod1	Nell1
Neurod1	Nfasc
Neurod1	Ngfrap1
Neurod1	Nol4
Neurod1	Odz2
Neurod1	Pax6os1
Neurod1	Pcyt1b
Neurod1	Pgbd5
